Loc;Genera_Prefix;Lineage_Name;Lineage;parasiteGenus;order;family;genus;species;Host_Status;Host_Age;Host_Environment;continent;country;region;site;Lat1;Lat2;Lat3;Lon1;Lon2;Lon3;length;IDSeq;IDLoc;Latitude;Longitude
37.3444444444444_-104.355555555556;H_;SETAUD20;H_SETAUD20;Haemoproteus;Passeriformes;Parulidae;Dendroica;Dendroica_coronata;Migratory;Adult;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7300;-107;32;7600;Full;Parasite_1239;360;37,3444444444444;-104,355555555556
37.3444444444444_-104.355555555556;H_;SETCOR01;H_SETCOR01;Haemoproteus;Passeriformes;Parulidae;Dendroica;Dendroica_coronata;Migratory;Adult;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7300;-107;32;7600;Full;Parasite_1237;360;37,3444444444444;-104,355555555556
37.3444444444444_-104.355555555556;H_;SETAUD05;H_SETAUD05;Haemoproteus;Passeriformes;Parulidae;Dendroica;Dendroica_coronata;Migratory;Adult;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7300;-107;32;7600;Full;Parasite_1226;360;37,3444444444444;-104,355555555556
37.3444444444444_-104.355555555556;H_;PASILI01;H_PASILI01;Haemoproteus;Passeriformes;Parulidae;Dendroica;Dendroica_coronata;Migratory;Adult;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7300;-107;32;7600;Full;Parasite_1056;360;37,3444444444444;-104,355555555556
37.3444444444444_-104.355555555556;H_;SETCOR01;H_SETCOR01;Haemoproteus;Passeriformes;Parulidae;Dendroica;Dendroica_coronata;Migratory;Adult;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7300;-107;32;7600;Full;Parasite_1237;360;37,3444444444444;-104,355555555556
37.3444444444444_-104.355555555556;H_;TABI02;H_TABI02;Haemoproteus;Passeriformes;Parulidae;Dendroica;Dendroica_coronata;Migratory;Adult;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7300;-107;32;7600;Full;Parasite_1324;360;37,3444444444444;-104,355555555556
37.3444444444444_-104.355555555556;H_;SETAUD15;H_SETAUD15;Haemoproteus;Passeriformes;Parulidae;Dendroica;Dendroica_coronata;Migratory;Adult;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7300;-107;32;7600;Full;Parasite_1234;360;37,3444444444444;-104,355555555556
37.3444444444444_-104.355555555556;H_;SETAUD17;H_SETAUD17;Haemoproteus;Passeriformes;Parulidae;Dendroica;Dendroica_coronata;Migratory;Adult;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7300;-107;32;7600;Full;Parasite_1236;360;37,3444444444444;-104,355555555556
37.3555555555556_-104.355555555556;P_;LAIRI01;P_LAIRI01;Plasmodium;Passeriformes;Paridae;Poecile;Poecile_gambeli;Resident;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_765;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;PIRLUD01;H_PIRLUD01;Haemoproteus;Passeriformes;Fringillidae;Piranga;Piranga_ludoviciana;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1115;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;P_;LAIRI01;P_LAIRI01;Plasmodium;Passeriformes;Turdidae;Sialia;Sialia_currucoides;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_765;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;CHOMIN01;H_CHOMIN01;Haemoproteus;Caprimulgiformes;Caprimulgidae;Chordeiles;Chordeiles_minor;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_321;52;37,3555555555556;-104,355555555556
